iter	Passed	Remaining
545	38479	17900
546	38532	17822
547	38589	17745
548	38642	17667
549	38709	17595
550	38769	17520
551	38838	17449
552	38889	17370
553	38941	17291
554	39000	17216
555	39064	17143
556	39110	17062
557	39163	16984
558	39227	16911
559	39310	16847
560	39361	16768
561	39423	16695
562	39479	16619
563	39540	16545
564	39602	16471
565	39667	16399
566	39750	16334
567	39890	16293
568	40032	16252
569	40124	16190
570	40206	16124
571	40290	16060
572	40368	15992
573	40470	15934
574	40523	15857
575	40581	15781
576	40649	15710
577	40699	15632
578	40753	15555
579	40816	15482
580	40874	15407
581	41004	15358
582	41094	15296
583	41172	15228
584	41232	15153
585	41295	15080
586	41362	15008
587	41410	14930
588	41464	14854
589	41539	14785
590	41599	14710
591	41666	14639
592	41735	14568
593	41796	14495
594	41850	14419
595	41897	14340
596	41953	14265
597	42006	14189
598	42053	14111
599	42113	14037
600	42174	13964
601	42224	13887
602	42275	13811
603	42324	13734
604	42393	13664
605	42441	13586
606	42507	13515
607	42568	13442
608	42632	13370
609	42693	13297
610	42743	13221
611	42799	13147
612	42883	13082
613	42971	13017
614	43034	12945
615	43081	12868
616	43132	12793
617	43200	12722
618	43251	12647
619	43308	12573
620	43364	12499
621	43427	12427
622	43483	12354
623	43542	12281
624	43593	12206
625	43663	12136
626	43721	12063
627	43770	11988
628	43821	11913
629	43875	11839
630	43926	11764
631	43980	11690
632	44047	11620
633	44109	11549
634	44175	11478
635	44230	11405
636	44277	11330
637	44331	11256
638	44379	11181
639	44425	11106
640	44563	11053
641	44767	11017
642	44874	10956
643	44972	10893
644	45032	10821
645	45111	10754
646	45210	10691
647	45294	10624
648	45366	10555
649	45441	10486
650	45519	10418
651	45620	10355
652	45698	10287
653	45775	10219
654	45836	10147
655	45894	10074
656	45946	10000
657	45996	9926
658	46047	9852
659	46108	9780
660	46164	9707
661	46227	9636
662	46281	9563
663	46354	9494
664	46409	9421
665	46465	9348
666	46528	9277
667	46587	9205
668	46639	9132
669	46688	9058
670	46750	8987
671	46809	8916
672	46862	8843
673	46912	8769
674	46962	8696
675	47015	8624
676	47080	8553
677	47153	8484
678	47216	8414
679	47274	8342
680	47327	8270
681	47375	8196
682	47434	8125
683	47484	8052
684	47539	7981
685	47589	7908
686	47652	7838
687	47715	7767
688	47759	7694
689	47803	7620
690	47865	7550
691	47928	7480
692	47999	7411
693	48052	7339
694	48101	7267
695	48170	7197
696	48217	7125
697	48269	7053
698	48330	6983
699	48388	6912
700	48433	6840
701	48491	6769
702	48544	6698
703	48604	6627
704	48682	6560
705	48730	6488
706	48775	6416
707	48833	6345
708	48899	6276
709	48947	6204
710	49014	6135
711	49069	6064
712	49123	5994
713	49175	5923
714	49241	5853
715	49304	5784
716	49380	5716
717	49427	5644
718	49474	5573
719	49529	5503
720	49580	5432
721	49626	5361
722	49676	5290
723	49729	5220
724	49786	5150
725	49837	5079
726	49940	5014
727	50051	4950
728	50143	4883
729	50238	4817
730	50308	4748
731	50381	4680
732	50483	4614
733	50590	4549
734	50676	4481
735	50751	4413
736	50823	4344
737	50889	4275
738	50941	4204
739	51009	4135
740	51064	4065
741	51122	3996
742	51173	3925
743	51221	3855
744	51271	3785
745	51322	3715
746	51367	3644
747	51420	3574
748	51474	3504
749	51535	3435
750	51617	3367
751	51699	3299
752	51768	3231
753	51814	3161
754	51877	3092
755	51948	3023
756	52009	2954
757	52067	2885
758	52127	2815
759	52179	2746
760	52228	2676
761	52283	2607
762	52346	2538
763	52403	2469
764	52449	2399
765	52498	2330
766	52559	2261
767	52634	2193
768	52694	2124
769	52750	2055
770	52824	1986
771	52969	1921
772	53308	1862
773	53418	1794
774	53505	1725
775	53597	1657
776	53912	1595
777	54049	1528
778	54103	1458
779	54172	1389
780	54225	1319
781	54279	1249
782	54326	1179
783	54400	1110
784	54450	1040
785	54502	970
786	54552	901
